temperature_K,H_sat_c_T,H_sf_b_T,H_AFM_c_max_T,H_FM_c_min_T,H_AFM_b_max_T,H_FM_b_min_T,sigma_shared_c_meV,sigma_shared_c_err_meV,fwhm_shared_c_meV,fwhm_shared_c_err_meV,sigma_shared_b_meV,sigma_shared_b_err_meV,fwhm_shared_b_meV,fwhm_shared_b_err_meV,sigma_floor_c_meV,n_FM_floor_c,sigma_floor_b_meV,n_FM_floor_b,Phi_AFM_c_m2_meV,Phi_AFM_c_m2_err_meV,Phi_FM_c_m2_meV,Phi_FM_c_m2_err_meV,Delta_ex_c_m2_meV,Delta_ex_c_m2_err_meV,n_AFM_c_m2_bins,n_FM_c_m2_bins,Phi_AFM_b_m2_meV,Phi_AFM_b_m2_err_meV,Phi_FM_b_m2_meV,Phi_FM_b_m2_err_meV,Delta_ex_b_m2_meV,Delta_ex_b_m2_err_meV,n_AFM_b_m2_bins,n_FM_b_m2_bins,lin_a_meV,lin_a_err_meV,lin_b_meV_per_T,lin_b_err_meV_per_T,lin_cov_ab,lin_chi2,lin_chi2_red,lin_dof,lin_n,lin_birge_scale,sin2_a_meV,sin2_a_err_meV,sin2_b_meV,sin2_b_err_meV,sin2_cov_ab,sin2_chi2,sin2_chi2_red,sin2_dof,sin2_n,sin2_birge_scale,Phi_FM_sin2_meV,Phi_FM_sin2_err_meV,Phi_AFM_sin2_meV,Phi_AFM_sin2_err_meV,Delta_sin2_meV,Delta_sin2_err_meV,c_calib_c,c_calib_b,V_T_afm_c_meV,V_T_afm_b_meV,B_FN_afm_c_V,B_FN_fm_c_V,calib_ok_c,calib_ok_b
20,2.3,0.31,0.1,2.2,0.2635,0.3875,217.7444144175542,5.455423379477223,512.7489117639826,12.846540328123446,140.7269487738974,1.0084126715313653,331.3866398488171,2.374630372585269,1.20922506438518,48,1.28136498913412,104,434.9749999999999,1.7418945524355538,330.79413392371004,0.696266083393493,104.18086607628985,1.8758952771113775,1,12,430.4184481407283,2.794779684085072,323.94396342747297,0.4297435460926936,106.47448471325532,2.8276267430449478,15,26,437.2834469486546,1.387244095918904,-107.68111249990844,1.9883918783460184,-2.3497666710672784e-06,22.267431981388984,1.1719701042836308,19,21,1.1719701042836308,323.0837467415022,3.924936258884672,97.81226021402088,6.0917171843596165,-1.904637626591594e-05,237.4439638697505,12.497050729986867,19,21,12.497050729986867,323.0837467415022,3.924936258884672,420.8960069555231,3.7975505735536927,97.81226021402088,6.0917171843596165,1.850216773929824,1.8755252393408264,434.975,430.25,1.3012379754740862,0.6565552249486576,True,True
30,2.0,0.3,0.1,1.9,0.255,0.375,158.0093548915783,1.2691153144717708,372.0835962010976,2.9885381819738823,140.6619149916617,1.1433393175230069,331.23349699480434,2.692358343175181,2.684673254152665,56,1.004679895763129,112,468.05000000000007,1.357687860164804,348.0095687626276,0.8525312134138968,120.04043123737246,1.603161188241487,1,14,453.5272392653376,6.509526760765542,340.31750670684977,0.2552661973600658,113.2097325584878,6.514529874107372,13,28,471.5337331228157,2.0140831247283373,-110.0240992345243,2.677900110252371,-4.822900231006952e-06,40.136402947907335,2.675760196527156,15,17,2.675760196527156,347.4359754765894,2.259479031937542,115.35547467097491,4.190979076860469,-7.628638783334519e-06,88.47230782569856,5.898153855046571,15,17,5.898153855046571,347.4359754765894,2.259479031937542,462.7914501475643,2.7225490907931484,115.35547467097491,4.190979076860469,1.720742336632726,1.749423942482306,468.05,451.5125,1.0224597388327406,0.3618878748124173,True,True
40,2.0,0.3,0.1,1.9,0.255,0.375,156.97906041333212,1.9919963617205725,369.6574381114388,4.6907929622083255,158.6466716747542,1.9310491218032189,373.5843625371549,4.54727317996163,1.154190199711017,32,1.1373522493607402,55,465.6875,1.8640451694994,348.2610303567545,0.5489111220985031,117.4264696432455,1.943184966465489,1,13,453.90943061193,11.786013887926195,349.80162584830094,0.3885618167695784,104.10780476362902,11.792417209878575,12,27,466.78318060067465,1.755384384694992,-111.69292646926206,2.7951250158284613,-4.07696944435657e-06,3.821727398986732,0.2547818265991154,15,17,1.0,329.4562726078114,4.516749468040183,130.51848302951652,6.711198763981831,-2.727613054004133e-05,61.05810860267037,4.070540573511358,15,17,4.070540573511358,329.4562726078114,4.516749468040183,459.9747556373279,3.299841439619466,130.51848302951652,6.711198763981831,1.695929995095519,1.6844091017286402,465.68750000000006,453.875,0.8659583500876828,,True,True
50,2.0,0.3,0.1,1.9,0.255,0.375,162.85714072729033,1.486513828497597,383.4992594610494,3.50047256056184,175.00686011239392,2.4436158358609146,412.1096622105924,5.754275552640339,1.1629061797949365,56,0.5781602307013555,72,439.7000000000001,5.361014273790338,340.6493145496302,0.4745584455730557,99.05068545036988,5.381977309692828,1,14,419.2586182597945,13.170668007136785,337.59162218805466,0.1860089534365533,81.66699607173977,13.17198144111109,9,18,449.32211178369846,2.401130323110869,-110.47617119791585,3.2324690761464097,-7.643563583895053e-06,13.646367031595346,0.9097578021063564,15,17,1.0,332.00959504453976,2.0394935617158887,81.42537298395295,4.246167453578176,-8.081453228868956e-06,46.314314955384816,3.0876209970256543,15,17,3.0876209970256543,332.00959504453976,2.0394935617158887,413.43496802849273,2.454906428841884,81.42537298395295,4.246167453578176,1.6644282373135015,1.681884710199106,439.7,423.1625,0.738479232077055,0.1434210308422183,True,True
60,2.0,0.3,0.1,1.9,0.255,0.375,199.9279478836969,4.907012799976577,470.7943392384324,11.555132102608288,212.85905949781352,4.216128652252298,501.24478007188674,9.92822426275303,0.475819695707647,56,0.7148063478683365,72,411.35,2.011040353157875,324.09407786539253,0.3008950887009687,87.25592213460742,2.033425965319051,1,14,393.4547891643418,11.486809224821483,320.22352138750387,0.3043552913117411,73.23126777683797,11.490840626812007,9,20,413.21757993246166,1.7255625356790387,-94.63269429688224,2.167820730798472,-3.5880824570784846e-06,6.0516845792119165,0.4034456386141277,15,17,1.0,307.38809453379974,2.4144487775753354,91.63824291501577,5.60507434841078,-1.1511159517945626e-05,101.57827640640238,6.771885093760159,15,17,6.771885093760159,307.38809453379974,2.4144487775753354,399.02633744881547,3.771485425512912,91.63824291501577,5.60507434841078,1.6730305231086484,1.6967882334978115,411.35,397.175,0.64661678537535,0.0481402492873352,True,True
70,2.0,0.3,0.1,1.9,0.255,0.375,244.5396383070659,91.46145275090544,575.846842090097,215.3752622854832,255.5161855792892,102.1078431106061,601.6946356319581,240.44559571173053,3.3775277399397323,56,3.250289465995874,72,385.36250000000007,6.325210954711243,308.017373480148,3.165946387338146,77.34512651985203,7.073295564946976,1,14,399.51276754733294,7.672768060378775,309.3450581806137,2.731921507157263,90.16770936671924,8.14461569563826,9,18,387.9780102069132,3.877441056285481,-90.14773004043424,8.013259211815662,-2.4879429299674623e-05,1.7919747578574845,0.1194649838571656,15,17,1.0,282.5126627190186,6.999508034064225,92.10158430718228,8.621523044076701,-5.692702274123508e-05,14.22927257709866,0.9486181718065771,15,17,1.0,282.5126627190186,6.999508034064225,374.61424702620087,3.077292127180172,92.10158430718228,8.621523044076701,1.6986775742644131,1.6887639319654075,385.3625,394.8125,0.5532516121411916,,True,True
80,2.0,0.3,0.1,1.9,0.255,0.375,250.87435062935765,154.99337301294736,590.763949646134,364.9815016178474,221.72150153171495,97.6507146294464,522.1142362212427,229.94986022101736,5.539872574968426,56,5.521102406074906,72,347.5624999999999,14.01320600719793,293.8712115879077,5.270069476925829,53.6912884120922,14.97142527923756,1,14,350.1201140965502,7.343658850819218,294.12591523832526,4.263287789133808,55.99419885822493,8.49146324788566,9,18,345.2532901232634,5.918736261214475,-64.60836700627286,12.332934308532543,-5.9531003022114856e-05,0.9366510782706348,0.0624434052180423,15,17,1.0,270.9431283449604,10.547506632651974,63.69249025539273,12.961026279759144,-0.0001292977396199,4.231561318899944,0.2821040879266629,15,17,1.0,270.9431283449604,10.547506632651974,334.63561860035304,4.543414921687363,63.69249025539273,12.961026279759144,1.819718117164628,1.8018051964910025,347.5625,347.5625,0.3788707639392932,-0.146544933404635,True,True
90,2.0,0.3,0.1,1.9,0.255,0.375,146.4976063357178,57.26287864944789,344.97549994840125,134.84377447989468,186.256522007545,119.5304625725929,438.6005915411151,281.4727292577634,46.95630174702536,56,63.96141642786076,72,633.6822626586168,22.68993134692296,605.5692162373837,17.684229331166794,28.113046421233022,28.76742865751781,1,14,653.0423944054579,19.37016668405674,600.0592061992057,21.245925625757128,52.98318820625214,28.750525439778404,9,18,633.0265283050785,13.816172264797348,-57.37292683296368,35.83737480119919,-0.000376615310487,0.1612565959278536,0.0107504397285235,15,17,1.0,562.4018592585791,37.75454723451694,63.19281469826879,43.07601404744175,-0.001579755776159,0.5721058723113397,0.0381403914874226,15,17,1.0,562.4018592585791,37.75454723451694,625.5946739568478,11.019858019989291,63.19281469826879,43.07601404744175,,,,,,-0.2509004005576349,False,False
100,2.0,0.3,0.1,1.9,0.255,0.375,196.2881013207311,75.01457449036539,462.22315559112354,176.6458236793797,180.9660198545133,12.759916668857851,426.14241102287656,30.047307544751007,19.542447252143337,56,21.37137238358832,112,782.7487472633017,20.263567711602324,768.788712174747,9.808591959112483,13.96003508855459,22.512677597812715,1,14,730.7709079011269,6.303869070701215,740.237583952023,6.15287651875638,-9.466676050896128,8.808896339247445,12,28,782.9527126820797,13.624562739593474,-11.591305436575112,27.426040301546823,-0.0003046879492374,1.0398272227854883,0.0693218148523659,15,17,1.0,769.7312235202987,25.00020980347873,11.319757565803354,31.49623873619929,-0.0007471990184345,1.0892821018633254,0.0726188067908883,15,17,1.0,769.7312235202987,25.00020980347873,781.0509810861022,11.073640226976153,11.319757565803354,31.49623873619929,,,,,-0.0756966969410367,-0.3600288510730947,False,False
