Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
-0.4974874371859297,1.093330095612237,0.0167656137768601,-1.5917258463858624e-06,2.4284764836470823e-08,-1.7402817718175235e-06,2.680835790895771e-09
-0.4874371859296482,1.0938900458292655,0.0168665614813995,-1.554422712456101e-06,2.3846362384787603e-08,-1.700367532166656e-06,2.632199121340818e-09
-0.4773869346733668,1.0945629094643117,0.016956717410094,-1.5150981441198689e-06,2.3352724517139213e-08,-1.6583702327518223e-06,2.581880313534477e-09
-0.4673366834170854,1.0951866296732964,0.0170755782694668,-1.4761365728914332e-06,2.2899046742133512e-08,-1.6166450382024589e-06,2.52863176811535e-09
-0.457286432160804,1.095781797924329,0.0171811516276839,-1.4375287287374282e-06,2.2425468612248908e-08,-1.575217814943774e-06,2.481517684641865e-09
-0.4472361809045225,1.096497317624061,0.0172894784971615,-1.3989227252252689e-06,2.194678969347294e-08,-1.533915015772849e-06,2.4267229265476324e-09
-0.4371859296482412,1.0971844620210065,0.0173967193696159,-1.3607007352020228e-06,2.1465654456550332e-08,-1.492939704124219e-06,2.379975932366514e-09
-0.4271356783919597,1.0978845597664189,0.0175172252295902,-1.3226452259842202e-06,2.0996195049059752e-08,-1.4521117716568413e-06,2.3321746693841067e-09
-0.4170854271356784,1.0986016201997335,0.0176388525990571,-1.284922742692108e-06,2.0525952874075224e-08,-1.4116182069530352e-06,2.2774758656833037e-09
-0.4070351758793969,1.0993115479319977,0.017759126600667,-1.247534190738805e-06,2.0051237983379733e-08,-1.371428742319168e-06,2.230447862911945e-09
-0.3969849246231155,1.100067467334566,0.017877556791123,-1.2102247085110238e-06,1.9567438427425e-08,-1.3313288299974354e-06,2.182481232259669e-09
-0.3869346733668342,1.1007781101103828,0.0180116748870563,-1.1733247349635114e-06,1.9101188614786023e-08,-1.2915701842988998e-06,2.1276348599264837e-09
-0.3768844221105527,1.101581625383456,0.0181402879956374,-1.136566163021344e-06,1.8621266053437483e-08,-1.2520204012168902e-06,2.07609886588268e-09
-0.3668341708542714,1.102434184793413,0.0182857435848804,-1.1001221938374627e-06,1.815456952205808e-08,-1.2128123139363445e-06,2.0265128141389998e-09
-0.3567839195979899,1.102842942001225,0.0177187402459447,-1.0606268080129125e-06,1.6925139957684457e-08,-1.1697047893143283e-06,2.1828291646693526e-09
-0.3467336683417085,1.104306165440443,0.018598570826765,-1.0209574489888973e-06,1.710714344428954e-08,-1.1274496055707857e-06,1.915133336038877e-09
-0.3366834170854271,1.1052125482469084,0.0187520112183624,-9.855146505737373e-07,1.6635698535045005e-08,-1.0892031582952616e-06,1.865515599003213e-09
-0.3266331658291457,1.1061266352935542,0.0189033036566094,-9.502640643410704e-07,1.6156232228298918e-08,-1.0511123921299656e-06,1.8185615286526758e-09
-0.3165829145728643,1.107021964911239,0.0190569883715585,-9.152404191528552e-07,1.5674761342727493e-08,-1.0131912471767796e-06,1.763891835475097e-09
-0.3065326633165829,1.107990395923525,0.0192166998709109,-8.807007050459995e-07,1.519653524933787e-08,-9.758079228740448e-07,1.7093704317388752e-09
-0.2964824120603014,1.1089729707756255,0.0193753276048723,-8.463131600155794e-07,1.471046248450591e-08,-9.385384192689844e-07,1.6585108882036263e-09
-0.2864321608040201,1.1099684047677232,0.019546004780823,-8.124349685393649e-07,1.4233105748743748e-08,-9.017771460071542e-07,1.607380916840777e-09
-0.2763819095477386,1.1109982251027577,0.0197308840046039,-7.7874253406084e-07,1.375920568047483e-08,-8.651815731536171e-07,1.554393342998372e-09
-0.2663316582914573,1.1120879990442911,0.0199047193424997,-7.452800884553979e-07,1.3270712473031862e-08,-8.288170422979158e-07,1.5035359342237751e-09
-0.2562814070351759,1.1131727638204376,0.020094026895111,-7.123634444063122e-07,1.2792579805741981e-08,-7.929835842544212e-07,1.4526357332174407e-09
-0.2462311557788944,1.1142888830705435,0.0202858077762509,-6.796207610515799e-07,1.2308630150538576e-08,-7.572938587437178e-07,1.4001856235082895e-09
-0.2361809045226131,1.1155125573203182,0.0204921136298048,-6.473538853880239e-07,1.1830384923945788e-08,-7.221313881804387e-07,1.3483880912052538e-09
-0.2261306532663316,1.1167649268385789,0.0207120540064459,-6.153495637804257e-07,1.1353298033549072e-08,-6.872008105753985e-07,1.2972202786718443e-09
-0.2160804020100502,1.118043019164499,0.0209283663795912,-5.836398601313341e-07,1.0868181906017802e-08,-6.525344713259827e-07,1.2442065076760927e-09
-0.2060301507537688,1.119357923433746,0.0211545578781394,-5.524540777942076e-07,1.0386488848229966e-08,-6.183938493122294e-07,1.189809515029904e-09
-0.1959798994974874,1.120754892650086,0.0213972833874781,-5.214809163052377e-07,9.904165240875617e-09,-5.844522883727452e-07,1.1375214815721382e-09
-0.185929648241206,1.1221866267955296,0.0216470141010797,-4.910643729910202e-07,9.423303786476289e-09,-5.510658722662547e-07,1.0835817846473951e-09
-0.1758793969849246,1.1236688336702283,0.0218990121214962,-4.609368132627864e-07,8.936179186807213e-09,-5.179403313546671e-07,1.030649109934841e-09
-0.1658291457286431,1.125229904026704,0.0221653849674095,-4.311590871355683e-07,8.448779139926106e-09,-4.851530982377968e-07,9.761949099831078e-10
-0.1557788944723618,1.1268434605636677,0.0224399035844939,-4.019304250703736e-07,7.96211749976065e-09,-4.529126710921258e-07,9.217104565377551e-10
-0.1457286432160803,1.1284777707589555,0.0227212291422115,-3.729975159463825e-07,7.470661732789816e-09,-4.2091940529380164e-07,8.672144475973717e-10
-0.135678391959799,1.1301823652047365,0.0230183181158187,-3.4463414064613734e-07,6.9822668969833765e-09,-3.8949942820575323e-07,8.119646953026536e-10
-0.1256281407035175,1.1319256114783238,0.0233314493466904,-3.165520977491647e-07,6.490551157899169e-09,-3.5831342680946934e-07,7.560366197307245e-10
-0.1155778894472361,1.1337637727405137,0.0236492427732755,-2.889871067151549e-07,5.996279774123692e-09,-3.276431123827394e-07,7.001796582800173e-10
-0.1055276381909547,1.1355806737374372,0.0239675549711282,-2.619416920587945e-07,5.499422532387294e-09,-2.9745592314805013e-07,6.434785034658196e-10
-0.0954773869346733,1.1374300006050002,0.0243010506030616,-2.352266216294344e-07,4.999119460312706e-09,-2.6755381638227964e-07,5.858975960892862e-10
-0.085427135678392,1.1392575707766184,0.0246194695951516,-2.090977619130619e-07,4.49484032174926e-09,-2.382162082919026e-07,5.274756391084301e-10
-0.0753768844221105,1.1410432314646564,0.024939297881012,-1.832437137717819e-07,3.98396142476234e-09,-2.0908899930773853e-07,4.686870802723435e-10
-0.0653266331658291,1.142770890149949,0.0252272590631917,-1.578976190644184e-07,3.467274443833572e-09,-1.8044080269080293e-07,4.087144838032015e-10
-0.0552763819095477,1.144293372413683,0.0255069861175951,-1.329919678728563e-07,2.94884779644279e-09,-1.521818274211629e-07,3.4780446677603667e-10
-0.0452261306532663,1.145644637207921,0.0257577742536048,-1.0831476633300372e-07,2.422442911598701e-09,-1.240902311798348e-07,2.859106719579413e-10
-0.0351758793969849,1.146837805599357,0.0259622071283028,-8.40557932684163e-08,1.8928531837265262e-09,-9.63983614998638e-08,2.2353062552143576e-10
-0.0251256281407035,1.1476865923354618,0.0261032468614621,-5.986377010735912e-08,1.354392904254845e-09,-6.870484631886848e-08,1.6007126691543584e-10
-0.015075376884422,1.1483411373343002,0.0262098964112974,-3.5843064626888574e-08,8.137732528158353e-10,-4.116006559918805e-08,9.634788003374212e-11
-0.0050251256281407,1.149773676451844,0.0263567991452281,-1.1922659034751792e-08,2.718463995741168e-10,-1.3708359511468364e-08,3.2462966115076245e-11
0.0050251256281406,1.1447355366991827,0.0257964610248632,1.2172062710724124e-08,2.728964165947e-10,1.393379273989689e-08,3.1676874417954885e-11
0.015075376884422,1.1453274648043397,0.0258041334586294,3.6466450563115975e-08,8.173355084018064e-10,4.1766027373866404e-08,9.559493655519655e-11
0.0251256281407035,1.1443750209712935,0.025617005729081,6.111918986262365e-08,1.361086331595712e-09,6.994327418078839e-08,1.5903017318350638e-10
0.0351758793969849,1.1429391690368336,0.0253562939987832,8.614260444896126e-08,1.9011976746132216e-09,9.845575674756445e-08,2.2193136771807714e-10
0.0452261306532664,1.1412156029469664,0.0250431767817617,1.116476794474741e-07,2.437328936118737e-09,1.2741407381827878e-07,2.843325112445013e-10
0.0552763819095476,1.139228020057768,0.0246955283861273,1.376835722615282e-07,2.9691778543372707e-09,1.568529834219814e-07,3.454885890757576e-10
0.0653266331658291,1.1371648780286925,0.0243344558307136,1.6428612977397144e-07,3.497417130934545e-09,1.8682041672622419e-07,4.06043526250837e-10
0.0753768844221105,1.1350143373970336,0.0239664463378206,1.915022481847861e-07,4.022753313768813e-09,2.173577973334973e-07,4.662657217827283e-10
0.085427135678392,1.132900401032653,0.0235808687061098,2.1932470633688174e-07,4.541570236930479e-09,2.484730477654223e-07,5.250469869955376e-10
0.0954773869346734,1.130748721143717,0.023206280963056,2.476765399986001e-07,5.056756812243194e-09,2.800599308607177e-07,5.838427474042297e-10
0.1055276381909549,1.1286717361164755,0.0228390072919822,2.766280356845885e-07,5.568787223349948e-09,3.122222452946149e-07,6.407617240010997e-10
0.1155778894472361,1.1266448636922832,0.0224929143915079,3.061588884012313e-07,6.080781296239873e-09,3.449323390909862e-07,6.985787956855965e-10
0.1256281407035175,1.1246626173782095,0.0221504522210698,3.362665353970641e-07,6.588757015396822e-09,3.781864018363645e-07,7.54643417741554e-10
0.135678391959799,1.122766640613727,0.0218241535812726,3.669316964118053e-07,7.095715179922146e-09,4.119786681149786e-07,8.106947017473313e-10
0.1457286432160804,1.120984358855166,0.0215164137073699,3.980160761897354e-07,7.600448731671496e-09,4.461697959815994e-07,8.659596161961747e-10
0.1557788944723619,1.1192142469188022,0.0212012049622947,4.29644597277089e-07,8.096864923602308e-09,4.808643543842093e-07,9.227330264669452e-10
0.1658291457286431,1.1175474052285317,0.0209115727662817,4.617528130801821e-07,8.596023320755165e-09,5.160306581147326e-07,9.766065642180795e-10
0.1758793969849246,1.1159557479667137,0.0206503294418693,4.943240334567461e-07,9.100338025239849e-09,5.516437464941458e-07,1.0327796355700215e-09
0.185929648241206,1.1143967983268317,0.0203830627403625,5.273885886386634e-07,9.596851977225133e-09,5.877201546530328e-07,1.0869470559704554e-09
0.1959798994974875,1.1128958051896958,0.0201314294822433,5.608211471216432e-07,1.0092944845442727e-08,6.241355020933499e-07,1.1403275896101508e-09
0.2060301507537689,1.111528683514707,0.0198928479691696,5.946404034334309e-07,1.058774371298472e-08,6.609598647930156e-07,1.19494873249075e-09
0.2160804020100502,1.110157008322471,0.0196649766916121,6.28829876724154e-07,1.1082011248135878e-08,6.98099894687875e-07,1.2481537642736374e-09
0.2261306532663316,1.108892753713927,0.0194476237747543,6.635622258040225e-07,1.1577874196511234e-08,7.358193438323652e-07,1.3043457766935132e-09
0.2361809045226131,1.1076441145047689,0.0192289466791166,6.986129791585818e-07,1.206597007150807e-08,7.738145546816458e-07,1.357751063346833e-09
0.2462311557788945,1.1064694909188768,0.0190226428785301,7.338641466348939e-07,1.255207158440095e-08,8.11998288730727e-07,1.411594327181946e-09
0.256281407035176,1.1053726982199183,0.0188150431165523,7.696750110438739e-07,1.303370579322696e-08,8.507777437100123e-07,1.465717176519589e-09
0.2663316582914572,1.1042327203790383,0.0186320495360004,8.056866634055876e-07,1.3525032794590974e-08,8.896655761054627e-07,1.516635510159741e-09
0.2763819095477386,1.1031605552587214,0.0184480043900155,8.421145268959978e-07,1.4010540043485285e-08,9.289875290820244e-07,1.569228916705075e-09
0.2864321608040201,1.102116919481766,0.018271103387805,8.789766493584737e-07,1.4497504165901325e-08,9.687350370873654e-07,1.6201276819531331e-09
0.2964824120603015,1.101144376007246,0.0180870957565478,9.158967816071958e-07,1.4967038465962472e-08,1.0085345900699004e-06,1.6764197029313554e-09
0.306532663316583,1.1001380757600512,0.0179321967252095,9.53272423592226e-07,1.545865327840905e-08,1.048731289765872e-06,1.728517106217508e-09
0.3165829145728642,1.099240977092316,0.0177757174189896,9.909115629725382e-07,1.5941770867425647e-08,1.0892505946940067e-06,1.781440368452779e-09
0.3266331658291457,1.0981636663207293,0.0175894389206666,1.03654132511381e-06,1.6517072223176414e-08,1.1382920218799289e-06,1.8463700162175287e-09
0.3366834170854271,1.0973250749052856,0.0174523829970918,1.0748640264973644e-06,1.7007696603993878e-08,1.1794752483892177e-06,1.8950613852356747e-09
0.3467336683417086,1.0964811614123642,0.0173156749471098,1.113474072475763e-06,1.7493863009289947e-08,1.2209033441907794e-06,1.950006810250497e-09
0.35678391959799,1.0956869269992977,0.0171805937558285,1.152358790097336e-06,1.7976684557717043e-08,1.262624461522379e-06,2.00109961458945e-09
0.3668341708542713,1.094880394308934,0.0170365400076803,1.1915252460593705e-06,1.844544546274188e-08,1.3045776312345329e-06,2.0513106400502475e-09
0.3768844221105527,1.0941568447121768,0.01691683758808,1.230942634626084e-06,1.893439293721565e-08,1.34684430912417e-06,2.102969464455016e-09
0.3869346733668342,1.0933834877037023,0.0167938707313344,1.270681546110537e-06,1.9417153610231123e-08,1.3893422206470718e-06,2.156729167086848e-09
0.3969849246231156,1.0926239347271818,0.0166758481667356,1.3106899731002715e-06,1.990114707691052e-08,1.4320912356162826e-06,2.213746855802356e-09
0.4070351758793971,1.0918971276707534,0.0165411358945746,1.3509412302374997e-06,2.0359812759668693e-08,1.4750888489483195e-06,2.266912057536324e-09
