Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
-0.8492462311557789,2.1721302171458747,0.0038760564097878,-7.613970813996569e-07,1.2326091073700302e-09,-1.653853607754872e-06,1.2414846536320384e-09
-0.8391959798994975,2.1859877351678465,0.0039180433534133,-7.413024791011403e-07,1.2048682554771775e-09,-1.6204781273646114e-06,1.224260770286643e-09
-0.829145728643216,2.2070655914167623,0.0039922159449279,-7.11815952706057e-07,1.1671286406185934e-09,-1.5710244966390796e-06,1.1999904110643882e-09
-0.8190954773869348,2.221434801839902,0.0040386492627961,-6.925211747225369e-07,1.140204780542949e-09,-1.5383906385396948e-06,1.186101161636619e-09
-0.8090452261306533,2.243330385366374,0.0041154040438923,-6.641818980346845e-07,1.1022749338940299e-09,-1.4899794332715191e-06,1.1648060794700431e-09
-0.7989949748743719,2.2580333082936037,0.0041681382701395,-6.45732373145838e-07,1.077414801562622e-09,-1.4580852068067762e-06,1.1512944106209695e-09
-0.7889447236180904,2.2803949368296017,0.0042357537222468,-6.18643005822806e-07,1.0371882495085375e-09,-1.4107503781833726e-06,1.1280214494473255e-09
-0.778894472361809,2.2955086758173007,0.0042544307681511,-6.010292522493254e-07,1.0027344803339566e-09,-1.3796678629583113e-06,1.1136528051304331e-09
-0.7688442211055277,2.318570065535574,0.0043071275072635,-5.751423287224607e-07,9.595535003037986e-10,-1.3335077867983185e-06,1.0894386189429618e-09
-0.7587939698492463,2.3341942214586804,0.0043475837236859,-5.583350077455897e-07,9.324189955355371e-10,-1.303262348717843e-06,1.0748901573987404e-09
-0.7487437185929648,2.35801385191926,0.0044279153064006,-5.336199736139989e-07,8.97157523677812e-10,-1.2582832894425994e-06,1.052404619898103e-09
-0.7386934673366834,2.3740827425839357,0.0045192003526763,-5.175641881381966e-07,8.830675643210033e-10,-1.2287402072383577e-06,1.0371116511095959e-09
-0.728643216080402,2.398314977758178,0.004622874223105,-4.941459670071103e-07,8.531456427458992e-10,-1.1851176738719511e-06,1.015772292332395e-09
-0.7185929648241207,2.4145053539564985,0.0046471498076176,-4.789442409938019e-07,8.227752644694761e-10,-1.156413434126166e-06,1.0036402751023323e-09
-0.7085427135678393,2.439134080658452,0.0047109238199232,-4.567527629001254e-07,7.860734741387573e-10,-1.1140812304246053e-06,9.765980738965948e-10
-0.6984924623115578,2.4556476150654505,0.0047763438980386,-4.422974039362986e-07,7.661636652170963e-10,-1.0861265651258117e-06,9.608108868029674e-10
-0.6884422110552764,2.48115418586605,0.0048580910765453,-4.213132229877338e-07,7.344566940092543e-10,-1.0453430667767323e-06,9.319451874359878e-10
-0.6783919597989949,2.496871807806293,0.0049441687466961,-4.076898832337967e-07,7.176093619725266e-10,-1.0179493757743066e-06,9.233233013671564e-10
-0.6683417085427137,2.5220653441767995,0.0050501031594671,-3.87860011029805e-07,6.881459601426345e-10,-9.782082922103022e-07,9.080223713037211e-10
-0.6582914572864322,2.5386554214236625,0.0050944046929715,-3.751356505640961e-07,6.645762659061761e-10,-9.523401530738352e-07,8.977013151373683e-10
-0.6482412060301508,2.563297979982672,0.0051315993751176,-3.565166824041368e-07,6.272375383485631e-10,-9.138584918366476e-07,8.729621092522551e-10
-0.6381909547738693,2.579603819761145,0.0051482342903947,-3.444601165215081e-07,6.012990230823032e-10,-8.885706323342512e-07,8.595686484290633e-10
-0.6281407035175879,2.603407766374167,0.0052148918533558,-3.271235394226555e-07,5.703408351469702e-10,-8.516359630967473e-07,8.398944894021946e-10
-0.6180904522613067,2.6192257420545846,0.0052300717649686,-3.158483924827002e-07,5.458231139315363e-10,-8.27278240177248e-07,8.276186445978885e-10
-0.6080402010050252,2.6424726771634885,0.0053216176853378,-2.99599812769232e-07,5.20059118824728e-10,-7.916843193259922e-07,8.083494726255365e-10
-0.5979899497487438,2.65767598711952,0.0053563670749835,-2.8912476341450066e-07,5.00918104367376e-10,-7.683999410083306e-07,7.912278852608816e-10
-0.5879396984924623,2.679543349745732,0.0054020163403308,-2.7397608286798224e-07,4.717943163732588e-10,-7.341307908382874e-07,7.695999879094642e-10
-0.5778894472361809,2.693480117799021,0.0054365995016246,-2.642671465534811e-07,4.539036885570096e-10,-7.117983050292814e-07,7.546162746143486e-10
-0.5678391959798996,2.7133884030923663,0.0054719194426173,-2.5021845501953537e-07,4.253467787547383e-10,-6.789398540896961e-07,7.366290814484967e-10
-0.5577889447236182,2.7255170825637003,0.0055212749045206,-2.412629579988489e-07,4.103641683946437e-10,-6.575663134157112e-07,7.235289814052829e-10
-0.5477386934673367,2.742354154962084,0.0055762201938067,-2.2830974927685995e-07,3.8728856980792954e-10,-6.261061895477485e-07,7.019817541341534e-10
-0.5376884422110553,2.752458775727114,0.005587201898854,-2.2003229479790647e-07,3.7036604897641597e-10,-6.05629820759873e-07,6.871145124022102e-10
-0.5276381909547738,2.7656874231289965,0.0056065889160671,-2.081382545956747e-07,3.4608693748062055e-10,-5.756453530072785e-07,6.675260071952451e-10
-0.5175879396984926,2.773519775148824,0.0056187527982779,-2.0051283256784505e-07,3.30604352923463e-10,-5.561263062980233e-07,6.546181989482072e-10
-0.5075376884422111,2.782408817342947,0.0056661925068049,-1.8959884139620997e-07,3.1169598809878636e-10,-5.275414880588214e-07,6.340176253906672e-10
-0.4974874371859297,2.7867803633624866,0.0057120887591369,-1.826309738291159e-07,3.0098807659124457e-10,-5.089524116087483e-07,6.202503838929574e-10
-0.4874371859296482,2.7907058282021784,0.0056988983119217,-1.7261185472841706e-07,2.796020214187287e-10,-4.817089090073812e-07,5.990098510424634e-10
-0.4773869346733668,2.791565080144824,0.0057149981033629,-1.6623083047314249e-07,2.6825624756502306e-10,-4.640441815922986e-07,5.84579680066092e-10
-0.4673366834170853,2.7907832922398303,0.0056943015382036,-1.570059456946797e-07,2.4887020226513785e-10,-4.381695700270264e-07,5.629532692031107e-10
-0.4572864321608041,2.788062781662562,0.0056405969698164,-1.5115000412067068e-07,2.3378293108722657e-10,-4.214157009369847e-07,5.495826504923892e-10
