Voltage (V),TMR_Ratio,TMR_Error
-1.0,1.1684112294209466,0.002040091148549
-0.9899497487437184,1.2001121577226803,0.0021085322486423
-0.9798994974874372,1.2297008006794687,0.0021714065460546
-0.969849246231156,1.2764631028385467,0.0022730564546828
-0.9597989949748744,1.3091475650731044,0.0023453803766665
-0.949748743718593,1.3608115082840293,0.0024595823446966
-0.9396984924623116,1.3971709919107929,0.0025432109121813
-0.92964824120603,1.4541238479910248,0.0026662479887854
-0.9195979899497488,1.494365845132986,0.0027511376859607
-0.9095477386934674,1.557585512991967,0.0028942378045706
-0.8994974874371859,1.6021394359179495,0.0030071024718749
-0.8894472361809045,1.6725503143788607,0.0031768642407712
-0.879396984924623,1.722030038200188,0.003290832604015
-0.8693467336683418,1.8006208877781646,0.0034756662358578
-0.8592964824120604,1.8557359641032625,0.003604792415939
-0.8492462311557789,1.9435034291758868,0.0038045878742833
-0.8391959798994975,2.005357875894288,0.0039447943262592
-0.829145728643216,2.1033413024645022,0.0041728918060206
-0.8190954773869348,2.1725438135014863,0.0043456881764257
-0.8090452261306533,2.28262595634225,0.004622651212886
-0.7989949748743719,2.360333673179692,0.004803423855262
-0.7889447236180904,2.483986192632758,0.0051104058447697
-0.778894472361809,2.5711620752214723,0.005325217197446
-0.7688442211055277,2.6864563947079967,0.0093209631795404
-0.7587939698492463,2.7515358191138217,0.0094737338021064
-0.7487437185929648,2.8232099942803144,0.0112937821465394
-0.7386934673366834,2.83087223569592,0.0098530799838877
-0.728643216080402,2.895295364159492,0.0100568218332458
-0.7185929648241207,2.906543499315652,0.0100903855782046
-0.7085427135678393,2.9704998520823733,0.010435737389455
-0.6984924623115578,2.9754351011973186,0.0107978194292332
-0.6884422110552764,3.0442807759323967,0.0109276598679551
-0.6783919597989949,3.0531924579999083,0.0109738929914133
-0.6683417085427137,3.121073129532624,0.0111346686309095
-0.6582914572864322,3.1236083498419824,0.0111270061251887
-0.6482412060301508,3.191684632393971,0.0118522557983247
-0.6381909547738693,3.1959018204196905,0.0119903653824426
-0.6281407035175879,3.265996972036926,0.0120113289400129
-0.6180904522613067,3.2646575995866494,0.0118443680025968
-0.6080402010050252,3.3355310764528148,0.0121366293847589
-0.5979899497487438,3.332925200966917,0.0124546475412971
-0.5879396984924623,3.394385729759329,0.0131892740755042
-0.5778894472361809,3.3889340355186413,0.012777275772085
-0.5678391959798996,3.4572293499292965,0.0128395134286639
-0.5577889447236182,3.4476168357051384,0.0129984354066624
-0.5477386934673367,3.505172086777962,0.0131520805164735
-0.5376884422110553,3.485841709071363,0.0133575213385898
-0.5276381909547738,3.545102157283138,0.0138218932684041
-0.5175879396984926,3.52664350501066,0.013628021731648
-0.5075376884422111,3.5726385225654664,0.0132633633286542
-0.4974874371859297,3.544680983834515,0.0129988202035676
-0.4874371859296482,3.5913430259241976,0.0136669619874243
-0.4773869346733668,3.551743118625987,0.0144491895843963
-0.4673366834170853,3.579227807846769,0.0135157822488287
-0.4572864321608041,3.5426534212015093,0.0128756743781928
-0.4472361809045226,3.575761108631026,0.0133153333450854
-0.4371859296482412,3.526627446780871,0.0135701602467031
-0.4271356783919597,3.533990580629908,0.0133536250801964
-0.4170854271356783,3.482734738734748,0.0129995429973125
-0.4070351758793971,3.5092049543845274,0.0131285003367305
-0.3969849246231156,3.455759421070877,0.0128944483262919
-0.3869346733668342,3.4559435270938934,0.0119578053730402
-0.3768844221105527,3.399816512376044,0.0121431245302595
-0.3668341708542713,3.41481546205378,0.0133497363164181
-0.35678391959799,3.3570729390713705,0.0129840271272432
-0.3467336683417086,3.357002182009156,0.0115726537453944
-0.3366834170854271,3.3033618290999605,0.0110788570365759
-0.3266331658291457,3.3225276380260134,0.0119361856049018
-0.3165829145728642,3.325466373077114,0.0132910046241537
-0.306532663316583,3.240366404452036,0.0116394722997522
-0.2964824120603015,3.2631880792701846,0.0114999255907358
-0.2864321608040201,3.206832022781774,0.0115162395842143
-0.2763819095477386,3.2142791950608367,0.0120267326126589
-0.2663316582914572,3.10720038810344,0.0106058020846737
-0.256281407035176,3.1213220875842764,0.0119706707150044
-0.2462311557788945,3.055027382151267,0.0120410401275028
-0.2361809045226131,3.060216914793803,0.0123099931252061
-0.2261306532663316,2.9429601147750963,0.0090151517465971
-0.2160804020100502,2.9572879810078465,0.0101390731624586
-0.2060301507537689,2.861854719250773,0.0122450131506824
-0.1959798994974875,2.8532499179640856,0.0132959845809737
-0.185929648241206,2.716318553366033,0.0095056424541829
-0.1758793969849246,2.725962773453332,0.0099565515780094
-0.1658291457286431,2.62347704826048,0.0102256167346216
-0.1557788944723619,2.5793213050917627,0.0133306444510248
-0.1457286432160804,2.3901427692953368,0.0101835739873565
-0.135678391959799,2.3642874811545997,0.0106818438736848
-0.1256281407035175,2.2272873141845406,0.0106974894407555
