H,abs_H,Phi_eV,Phi_err_stat_eV,Phi_err_repeat_eV,Phi_err_floor_eV,n,Phi_err_m2_eV,region,Phi_meV,Phi_err_m2_meV,Phi_err_stat_meV,Phi_err_repeat_meV,Phi_err_floor_meV
-0.8998793432328553,0.8998793432328553,0.585530098782129,0.059254520024480235,0.012627878822856663,0.06396141642786075,4,0.07431099471360658,FM,585.530098782129,74.31099471360658,59.254520024480236,12.627878822856664,63.961416427860755
-0.8400001728273632,0.8400001728273632,0.5922564093349254,0.05908880852387131,0.00907493568921932,0.06396141642786075,4,0.07431099471360658,FM,592.2564093349254,74.31099471360658,59.08880852387131,9.07493568921932,63.961416427860755
-0.7798734160105728,0.7798734160105728,0.5968062617875047,0.06704945289380268,0.0033307157531653085,0.06396141642786075,4,0.07431099471360658,FM,596.8062617875047,74.31099471360658,67.04945289380268,3.3307157531653084,63.961416427860755
-0.7199445213695289,0.7199445213695289,0.6301180318638206,0.03413212371623184,0.021972489683857593,0.06396141642786075,4,0.07431099471360658,FM,630.1180318638206,74.31099471360658,34.13212371623184,21.972489683857592,63.961416427860755
-0.6600156242090031,0.6600156242090031,0.6049643185181632,0.05897170972658241,0.011923055669810303,0.06396141642786075,4,0.07431099471360658,FM,604.9643185181633,74.31099471360658,58.97170972658241,11.923055669810303,63.961416427860755
-0.5998873041661419,0.5998873041661419,0.6048933484356849,0.07973678984789713,0.18463911440638225,0.06396141642786075,4,0.5391477916461689,FM,604.8933484356849,539.1477916461689,79.73678984789713,184.63911440638225,63.961416427860755
-0.5399573606311195,0.5399573606311195,0.5946067460168216,0.05829973014991365,0.007206465241475533,0.06396141642786075,4,0.07431099471360658,FM,594.6067460168216,74.31099471360658,58.29973014991365,7.206465241475533,63.961416427860755
-0.4800295144568997,0.4800295144568997,0.5942954305806266,0.05850887931098592,0.005406366107948112,0.06396141642786075,4,0.07431099471360658,FM,594.2954305806267,74.31099471360658,58.50887931098592,5.406366107948112,63.961416427860755
-0.4199011957591928,0.4199011957591928,0.6128068953156389,0.06670434434704756,0.08791427513543856,0.06396141642786075,4,0.25671043454596965,FM,612.8068953156389,256.71043454596963,66.70434434704755,87.91427513543856,63.961416427860755
-0.35997282862700447,0.35997282862700447,0.6368690871294175,0.04522361419644586,0.0393025196896824,0.06396141642786075,4,0.1147636932994837,spinflip,636.8690871294175,114.7636932994837,45.223614196445865,39.302519689682406,63.961416427860755
-0.3000434232740321,0.3000434232740321,0.6370092432479454,0.024778672109800146,0.026364905903567236,0.06396141642786075,4,0.07698575050344789,spinflip,637.0092432479454,76.98575050344789,24.778672109800148,26.364905903567237,63.961416427860755
-0.23991616306477095,0.23991616306477095,0.6987432602559124,0.03096168726360231,0.020500500805951873,0.06396141642786075,4,0.059861637512205294,AFM,698.7432602559123,59.86163751220529,30.961687263602307,20.500500805951873,63.961416427860755
