df_index,H,A,A_err,V_peak,V_peak_err,V0_gauss,V0_gauss_err,slope,slope_err,intercept,intercept_err,chi2,n_points,V_peak_rough,abs_H,fwhm_meas_V,fwhm_meas_err,V_left_meas,V_right_meas,height_meas,sigma_noise,fwhm_fit_V,fwhm_fit_err_V,Phi_eV,Phi_err_eV,Phi_err_stat_eV,Phi_err_floor_eV,Phi_err_repeat_eV,window,Phi_meV,Phi_meV_err,Phi_err_stat_meV,Phi_err_repeat_meV,Phi_err_floor_meV,fwhm_fit_meV,fwhm_fit_meV_err,fwhm_meas_meV,fwhm_meas_meV_err
10,0.6600135339521455,0.09745244109392465,0.17222140988584766,0.6046570873071644,0.12872678549880798,0.5854994568062399,0.49098179663016156,0.053523670126481133,1.0726804936393064,1.6216947684207885,0.7136746015664475,1.2889065107068827,90,0.6039987455591183,0.6600135339521455,0.012891125521907187,0.011587401593829356,0.6006347684963034,0.6135258940182106,0.20627648777047194,0.09474252662907191,0.43860059154111514,0.2814727292577634,0.6046570873071644,0.12872678549880798,0.12872678549880798,0.06396141642786075,0.09872588023510144,FM,604.6570873071644,128.72678549880797,128.72678549880797,98.72588023510144,63.961416427860755,438.60059154111514,281.4727292577634,12.891125521907188,11.587401593829355
11,0.6600135339521455,0.1274546421307467,0.32033886600724937,0.5887503386913828,0.11509117631745494,0.5269226923794742,0.3643339275949069,0.21498115121150296,1.2254934314704617,1.5033233668675354,0.9259469560716562,1.2691487148550122,90,0.5981468943727455,0.6600135339521455,0.010203915150647003,0.0039919191631195795,0.7163298530751446,0.7265337682257916,0.24727526506271738,0.07853418541722677,0.43860059154111514,0.2814727292577634,0.5887503386913828,0.11509117631745494,0.11509117631745494,0.06396141642786075,0.09872588023510144,FM,588.7503386913828,115.09117631745494,115.09117631745494,98.72588023510144,63.961416427860755,438.60059154111514,281.4727292577634,10.203915150647003,3.9919191631195794
12,0.5998867760669508,0.11062997929411553,0.25399927596676447,0.5917393456188376,0.12280254463992271,0.5452594075835289,0.4260415510393944,0.1437245190674839,1.1494335726560467,1.5599074101719712,0.8313399547001815,1.9106727077937782,90,0.5967876023406813,0.5998867760669508,0.013905668681593042,0.015592079349960215,0.5522148856142416,0.5661205542958346,0.21891462157070807,0.12270520341473758,0.43860059154111514,0.2814727292577634,0.5917393456188376,0.12280254463992271,0.12280254463992271,0.06396141642786075,0.10073790180398436,FM,591.7393456188375,122.80254463992271,122.80254463992271,100.73790180398436,63.961416427860755,438.60059154111514,281.4727292577634,13.905668681593042,15.592079349960215
13,0.5998867760669508,0.10431203986970031,0.20253277526291166,0.5977661746108216,0.12488650106830826,0.56777281219626,0.472595616779521,0.08908392079018199,1.1363015779857764,1.5963376365046296,0.7777599106129346,0.6251195595207396,89,0.5994485862782565,0.5998867760669508,0.011871578996462184,0.006789427272743475,0.717867334726451,0.7297389137229132,0.18597979096001932,0.05525968724110305,0.43860059154111514,0.2814727292577634,0.5977661746108216,0.12488650106830826,0.12488650106830826,0.06396141642786075,0.10073790180398436,FM,597.7661746108216,124.88650106830826,124.88650106830826,100.73790180398436,63.961416427860755,438.60059154111514,281.4727292577634,11.871578996462183,6.789427272743475
14,0.5399568325338611,0.10927495255908878,0.2560096524287708,0.5937006139462926,0.12126165253023254,0.5577477509174953,0.4484214994634058,0.11118434344698694,1.1959067742861074,1.5819946507037135,0.8719990860577167,0.002774798663092286,89,0.6080890925851703,0.5399568325338611,0.010742869068255056,0.011265791740538168,0.7786127510761555,0.7893556201444105,0.15372667255656772,0.08779430235046524,0.43860059154111514,0.2814727292577634,0.5937006139462926,0.12126165253023254,0.12126165253023254,0.06396141642786075,0.013963320211565057,FM,593.7006139462926,121.26165253023254,121.26165253023254,13.963320211565057,63.961416427860755,438.60059154111514,281.4727292577634,10.742869068255057,11.265791740538168
15,0.5399568325338611,0.15324987448326724,0.520602809826391,0.5718708054083417,0.12179645298827751,0.4770886524579146,0.26682018757530684,0.36788611771593,1.524485685515694,1.4084978495660325,1.2323995955713645,0.6477684049530539,90,0.5999888909450901,0.5399568325338611,0.013385685850741402,0.006744594895666584,0.6328066083091747,0.6461922941599161,0.21235400099540425,0.05511414114613899,0.43860059154111514,0.2814727292577634,0.5718708054083417,0.12179645298827751,0.12179645298827751,0.06396141642786075,0.013963320211565057,FM,571.8708054083417,121.79645298827751,121.79645298827751,13.963320211565057,63.961416427860755,438.60059154111514,281.4727292577634,13.385685850741403,6.744594895666584
16,0.4800269019544634,0.18413548841758576,0.5957598491834861,0.5720229544291082,0.13067492640997982,0.4566899342787209,0.21275269644188,0.505399936022652,1.6449748497603187,1.3154049297421262,1.341024384127436,0.6652352112900888,90,0.5967295957890781,0.4800269019544634,,,,0.652706062072347,0.19912365514604716,0.09432640250194313,0.43860059154111514,0.2814727292577634,0.5720229544291082,0.13067492640997982,0.13067492640997982,0.06396141642786075,0.0285436798351332,FM,572.0229544291083,130.67492640997983,130.67492640997983,28.5436798351332,63.961416427860755,438.60059154111514,281.4727292577634,,
17,0.4800269019544634,0.10725513200579558,0.218016885464796,0.5944531683667335,0.12302854551758234,0.5539344934415275,0.4430201350705486,0.12237896280163324,1.1113354500290342,1.5804777990501186,0.7733160895704657,0.6466281014390851,90,0.594603972985972,0.4800269019544634,0.013738542637164675,0.006823862812604697,0.5562817202041339,0.5700202628412986,0.21961261400540813,0.05593575731750058,0.43860059154111514,0.2814727292577634,0.5944531683667335,0.12302854551758234,0.12302854551758234,0.06396141642786075,0.0285436798351332,FM,594.4531683667335,123.02854551758234,123.02854551758234,28.5436798351332,63.961416427860755,438.60059154111514,281.4727292577634,13.738542637164674,6.823862812604697
18,0.41990015027384786,0.1028135319781727,0.17051740403034701,0.6021836869246493,0.12306419819398084,0.5857836010480287,0.48195188303047787,0.04836642794536492,1.108469993631123,1.6300051834229503,0.7158677364308031,1.3160561938938402,89,0.5994040612359719,0.41990015027384786,0.013411724005016445,0.013590886710083627,0.560569203211961,0.5739809272169775,0.21525866224780038,0.11175626450704196,0.43860059154111514,0.2814727292577634,0.6021836869246493,0.12306419819398084,0.12306419819398084,0.06396141642786075,0.009143879018232779,FM,602.1836869246494,123.06419819398084,123.06419819398084,9.143879018232779,63.961416427860755,438.60059154111514,281.4727292577634,13.411724005016445,13.590886710083627
19,0.41990015027384786,0.12171317189254054,0.27212014963181613,0.5896283232060873,0.11430800487418047,0.5373149467555998,0.38680056835432214,0.17649530624855467,1.1655950187577153,1.5404348543754935,0.8499866921163535,0.6567326336309668,90,0.594346343292986,0.41990015027384786,0.013449592728696502,0.009788395741944374,0.632587679169563,0.6460372718982595,0.2117638776381392,0.07837961621322789,0.43860059154111514,0.2814727292577634,0.5896283232060873,0.11430800487418047,0.11430800487418047,0.06396141642786075,0.009143879018232779,FM,589.6283232060873,114.30800487418047,114.30800487418047,9.143879018232779,63.961416427860755,438.60059154111514,281.4727292577634,13.449592728696501,9.788395741944374
