Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
-0.6281407035175879,7.015307842376779,0.15634052899912093,-2.7208313773176755e-10,5.610015481741426e-12,-1.9087469699081503e-09,1.6141736451152593e-11
-0.6180904522613065,6.934884697824562,0.1684677376276401,-2.448624193940853e-10,5.552669817274509e-12,-1.6980926453283423e-09,1.4794620672710917e-11
-0.6080402010050251,6.8834764236456625,0.17884404979492818,-2.3265415592025923e-10,5.686799335476384e-12,-1.6014693971402864e-09,1.4105536001461591e-11
-0.5979899497487438,6.774574746478742,0.19641973867889403,-2.0983521419916866e-10,5.780540857439758e-12,-1.4215443430356457e-09,1.2852215674936688e-11
-0.5879396984924623,6.706734318444489,0.18629813704211276,-1.8811252423292245e-10,4.9200030065281265e-12,-1.2616207220021617e-09,1.1804271119471096e-11
-0.5778894472361809,6.658394076732861,0.18940783770582065,-1.7849622701933543e-10,4.788154388234118e-12,-1.1884982207047071e-09,1.1251467159041362e-11
-0.5678391959798995,6.494664563510069,0.19309939188197042,-1.620022743765163e-10,4.562725022615817e-12,-1.0521504306011957e-09,1.0023014556787439e-11
-0.5577889447236181,6.26097864093218,0.18935536731740088,-1.4855011459104316e-10,4.271655769388487e-12,-9.30069094562549e-10,8.714689359047588e-12
-0.5477386934673367,6.162750138467734,0.19517447655719833,-1.4188699744695612e-10,4.292159033272997e-12,-8.744141131629999e-10,8.197848471023287e-12
-0.5376884422110553,6.0305344182410785,0.2001907972836894,-1.2824119915899948e-10,4.076201384561865e-12,-7.733629653648553e-10,7.404680694069247e-12
-0.5276381909547738,5.826680517432936,0.20411472593967608,-1.1736258548245093e-10,3.948180347028755e-12,-6.838342903061544e-10,6.681509162886976e-12
-0.5175879396984925,5.678646401422728,0.2077521336595293,-1.1315392340410708e-10,3.986324604241197e-12,-6.425611199455956e-10,6.3398820232797444e-12
-0.507537688442211,5.384129674337479,0.23250693735902586,-1.0516569818913844e-10,4.417878379558688e-12,-5.662257563425596e-10,5.665159953393193e-12
-0.4974874371859297,5.116678962079862,0.2084420469834565,-9.746056272080458e-11,3.842815855215422e-12,-4.986744109060058e-10,5.107071410689284e-12
-0.48743718592964824,4.984932940364361,0.20052554425568345,-9.385212553647189e-11,3.646564963152058e-12,-4.6784655210997e-10,4.873145668749847e-12
-0.4773869346733668,4.694711600955432,0.19384782178118776,-8.75701999577519e-11,3.490001981105876e-12,-4.1111683363964476e-10,4.439255106081538e-12
-0.46733668341708545,4.382387957357949,0.2012338022475313,-8.231457146940453e-11,3.672878656218232e-12,-3.6073438672259866e-10,3.911682410949044e-12
-0.457286432160804,4.207635988167284,0.21802956035513055,-8.028549725495553e-11,4.071400465257199e-12,-3.3781214757785656e-10,3.597396028629257e-12
-0.44723618090452255,3.88274448451503,0.2178882820728813,-7.632987466040602e-11,4.212878767121078e-12,-2.9636939984141505e-10,3.005682817170038e-12
-0.4371859296482412,3.6441083340559772,0.19506668202731064,-7.158227403059034e-11,3.762206720882367e-12,-2.60853561365553e-10,2.6482371846959502e-12
-0.42713567839195976,3.5223818009470023,0.18929092465630665,-6.95254785029634e-11,3.6669854911300116e-12,-2.4489528018097033e-10,2.522558894433428e-12
-0.4170854271356784,3.2291668500296558,0.20113457097627307,-6.678307386712205e-11,4.10172253702272e-12,-2.1565368827479233e-10,2.2349630985974084e-12
-0.40703517587939697,2.9115023407444203,0.20201096574201474,-6.525452982140089e-11,4.479385821715581e-12,-1.8998871631918526e-10,1.9187299172610026e-12
