Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
-1.0,7.179408608892451,0.031104779748127073,-5.287897704042603e-09,2.239386561833167e-11,-3.796397829934609e-08,3.471020724204104e-11
-0.9899497487437185,7.317210652799967,0.03282489695807151,-4.762582586924702e-09,2.092602114900363e-11,-3.484882003988505e-08,3.1523061799354484e-11
-0.9798994974874372,7.450005147435416,0.03670192750036734,-4.287818936102535e-09,2.0745697116467987e-11,-3.194427314523493e-08,2.96358341962283e-11
-0.9698492462311558,7.520437969961775,0.038044512399825196,-4.065925642793101e-09,2.019103580658311e-11,-3.057754158710248e-08,2.950885158233947e-11
-0.9597989949748744,7.660192766031103,0.03972778883614487,-3.6540285153136567e-09,1.8615674237433816e-11,-2.7990562799877043e-08,2.7178003711166064e-11
-0.949748743718593,7.789431010669447,0.041940019047722474,-3.2834513615270955e-09,1.734365177620416e-11,-2.5576217857503975e-08,2.6687993127471882e-11
-0.9396984924623115,7.85268662097806,0.04329828172519218,-3.1111519444087936e-09,1.680397811207205e-11,-2.4430901249688813e-08,2.708569518101043e-11
-0.9296482412060302,7.982759305208983,0.04614191531931283,-2.785884128809017e-09,1.5749745365764008e-11,-2.22390424524842e-08,2.6775873978189137e-11
-0.9195979899497487,8.115400784528848,0.04640261277621854,-2.4897290754684013e-09,1.3830750076941317e-11,-2.020514929232055e-08,2.7365693293754557e-11
-0.9095477386934674,8.186344460012007,0.04791372376629203,-2.3517931102723048e-09,1.3333412050565267e-11,-1.925258849937209e-08,2.798852719725699e-11
-0.8994974874371859,8.329666190611023,0.0531056443797865,-2.09359561513726e-09,1.290771633838118e-11,-1.7438952612220323e-08,2.8310453124802817e-11
-0.8894472361809045,8.469423271562151,0.05482531237946032,-1.86127812252362e-09,1.1577678479744784e-11,-1.5763952245751058e-08,2.8252141848519873e-11
-0.8793969849246231,8.54770416764339,0.05573683405461596,-1.7530073338650777e-09,1.09305047642281e-11,-1.4984188093587953e-08,2.8589746583996505e-11
-0.8693467336683417,8.716159428962264,0.059212704266554304,-1.5492702649879594e-09,9.9646486709752e-12,-1.3503686628185669e-08,2.9530619657595464e-11
-0.8592964824120604,8.875712572663323,0.06289209891491866,-1.369106404145882e-09,9.091962829059937e-12,-1.2151794924591478e-08,3.0035453685351914e-11
-0.8492462311557789,8.962553112478249,0.06373179337002759,-1.2857545112652493e-09,8.488980211967133e-12,-1.152364309682331e-08,3.043212681734125e-11
-0.8391959798994975,9.152882974575775,0.06856281630788603,-1.1293843752616892e-09,7.729837852736674e-12,-1.0337123020084613e-08,3.1470369263314216e-11
-0.8291457286432161,9.32115878437013,0.0710936277442093,-9.92124646443816e-10,6.789666010042955e-12,-9.247751363389886e-09,3.1139908556782056e-11
-0.8190954773869347,9.402186121910606,0.07169906623493034,-9.295247494095438e-10,6.265646206782792e-12,-8.739564698870847e-09,3.116436782147955e-11
-0.8090452261306533,9.603281301574397,0.0794325789168482,-8.116390924069012e-10,5.849427523961006e-12,-7.794398519738008e-09,3.163814390112614e-11
-0.7989949748743719,9.804504700423488,0.09840958321532814,-7.071537763682255e-10,6.3333658046382466e-12,-6.933292524324487e-09,3.141677477746126e-11
-0.7889447236180904,9.907605360507105,0.1056278355115275,-6.593624640906251e-10,6.299171085753752e-12,-6.532703083741452e-09,3.091501201596787e-11
-0.778894472361809,10.145392128125003,0.10606794528543023,-5.707328119565787e-10,5.183450637587901e-12,-5.790308177686921e-09,2.9985833184747956e-11
-0.7688442211055276,10.380264855547873,0.11041809558810801,-4.937913613337325e-10,4.399377269426188e-12,-5.125685114025685e-09,2.9788666267152694e-11
-0.7587939698492463,10.452013331848708,0.11515256091812281,-4.6109960393371424e-10,4.215681901397207e-12,-4.81941920762534e-09,2.962732392936427e-11
-0.7487437185929648,10.531837693302153,0.12155673175574526,-4.0368503035414385e-10,3.775238756146503e-12,-4.251545218905596e-09,2.875853557044291e-11
