abs_H,Phi_eV,Phi_err_stat_eV,Phi_err_repeat_eV,Phi_err_floor_eV,Phi_err_eV,n,theta_deg,sin2_half,Phi_meV,Phi_meV_err
0.00020024984394500787,0.6882011056807426,0.0011936133982121796,0.0011522335784963803,0.0007960608744151644,0.0011936133982121796,4,179.98852652907465,0.999999989975,688.2011056807426,1.1936133982121797
0.22851500021880403,0.6803594313365833,0.0008540989154818014,0.004367039159049397,0.0007960608744151644,0.004367039159049397,8,166.87839868714056,0.98694522366875,680.3594313365833,4.367039159049398
0.4570975001093858,0.6582187812267624,0.0008707020410253774,0.005660306094122472,0.0007960608744151644,0.005660306094122472,8,153.5767087065149,0.9477654688484375,658.2187812267624,5.660306094122473
0.6856775000729205,0.6355359010321437,0.000917757535218964,0.005326122856121811,0.0007960608744151644,0.005326122856121811,8,139.90015851440901,0.8824615914734375,635.5359010321438,5.326122856121811
0.9142625000546889,0.6151586553344729,0.0009896332465674216,0.004171124316403697,0.0007960608744151644,0.004171124316403697,8,125.59570665909901,0.7910310202484375,615.1586553344729,4.171124316403697
1.1428975000437485,0.5994646475691604,0.0010639008015487343,0.003178290591183918,0.0007960608744151644,0.003178290591183918,8,110.2973731837455,0.6734463260984376,599.4646475691604,3.178290591183918
1.3714975000364564,0.5863661371317096,0.0010846339034677255,0.0009581965496633883,0.0007960608744151644,0.0010846339034677255,8,93.41095884177955,0.5297486518484376,586.3661371317096,1.0846339034677255
1.5998825000312524,0.565542441490582,0.0010569123844017291,0.0010748957390316202,0.0007960608744151644,0.0010748957390316202,8,73.75101497986125,0.36009399652343743,565.542441490582,1.07489573903162
1.8284775000273452,0.5451772984318016,0.0010627081205874633,0.0006734727410973203,0.0007960608744151644,0.0010627081205874633,8,47.804300511753276,0.1641675079734375,545.1772984318017,1.0627081205874633
2.0,0.5421813534834105,0.00041914455753061796,0.0007960608744151642,0.0007960608744151644,0.0007960608744151644,56,0.0,0.0,542.1813534834105,0.7960608744151644
