df_index,H,A,A_err,V_peak,V_peak_err,V0_gauss,V0_gauss_err,slope,slope_err,intercept,intercept_err,chi2,n_points,V_peak_rough,abs_H,fwhm_meas_V,fwhm_meas_err,V_left_meas,V_right_meas,height_meas,sigma_noise,fwhm_fit_V,fwhm_fit_err_V,Phi_eV,Phi_err_eV,Phi_err_stat_eV,Phi_err_floor_eV,Phi_err_repeat_eV,window,Phi_meV,Phi_meV_err,Phi_err_stat_meV,Phi_err_repeat_meV,Phi_err_floor_meV,fwhm_fit_meV,fwhm_fit_meV_err,fwhm_meas_meV,fwhm_meas_meV_err
0,3.4285200000145832,0.6033398818324364,0.015621483348053373,0.5628751813112225,0.0015485888086137368,0.5267924954003028,0.004565687325490787,0.800926468254258,0.07902465039349123,1.4876116010962572,0.05255528517743962,0.006453425679365671,89,0.5631347047740982,3.4285200000145832,0.5975979442518053,0.005123051734061741,0.12223318054127721,0.7198311247930825,0.6074981589879023,0.00735981747520453,0.38349925946104946,0.00350047256056184,0.5628751813112225,0.0019355738829970636,0.0015485888086137368,0.0019355738829970636,0.0002051725644074799,FM,562.8751813112225,1.9355738829970637,1.5485888086137367,0.20517256440747988,1.9355738829970637,383.49925946104946,3.5004725605618403,597.5979442518053,5.123051734061741
1,3.4285200000145832,0.6091063324320376,0.015666180064475455,0.5628313003767536,0.0015335552974072813,0.5268286400118176,0.004523258188153015,0.806512162178311,0.07903089671109668,1.4806077461052234,0.05258457794805135,0.005808757613291691,89,0.5631349112344689,3.4285200000145832,0.595282529904249,0.005451358297256607,0.12316452973738269,0.7184470596416317,0.6157885371796776,0.006610866001707257,0.38349925946104946,0.00350047256056184,0.5628313003767536,0.0019355738829970636,0.0015335552974072813,0.0019355738829970636,0.0002051725644074799,FM,562.8313003767536,1.9355738829970637,1.5335552974072812,0.20517256440747988,1.9355738829970637,383.49925946104946,3.5004725605618403,595.282529904249,5.451358297256607
2,3.4285400000145834,0.6044974838595624,0.015379118970338513,0.5632804820303606,0.0015198709231092646,0.5282843393692235,0.004415206645386415,0.7793731485609013,0.0761509698784627,1.4994084187802517,0.050998475536778554,0.006987134244229224,90,0.5638210773559118,3.4285400000145834,0.5951210449532317,0.005566137881916576,0.12684642249960287,0.7219674674528346,0.6087434928140497,0.007193125563853904,0.38349925946104946,0.00350047256056184,0.5632804820303606,0.0019355738829970636,0.0015198709231092646,0.0019355738829970636,0.0002051725644074799,FM,563.2804820303606,1.9355738829970637,1.5198709231092646,0.20517256440747988,1.9355738829970637,383.49925946104946,3.5004725605618403,595.1210449532317,5.566137881916576
3,3.4285400000145834,0.6044955223596137,0.0155422177552339,0.562926040834068,0.0015426757810934023,0.5273211759801337,0.0045580170577237365,0.792349223910606,0.07890792153582632,1.4924842330180952,0.05240627973715759,0.0076667266821727415,89,0.5634751511929859,3.4285400000145834,0.5969697250123434,0.004547900562987732,0.12367130206437009,0.7206410270767134,0.6086364268290501,0.0074284846451266266,0.38349925946104946,0.00350047256056184,0.562926040834068,0.0019355738829970636,0.0015426757810934023,0.0019355738829970636,0.0002051725644074799,FM,562.9260408340681,1.9355738829970637,1.5426757810934022,0.20517256440747988,1.9355738829970637,383.49925946104946,3.5004725605618403,596.9697250123434,4.547900562987731
4,3.2000000000625004,0.6076042458672845,0.015513602569903038,0.563271295432465,0.0015341648064891797,0.5276438038383019,0.004535636311731871,0.7969787269080415,0.07884059205191077,1.493380626210406,0.05232778190191778,0.14948123577755834,89,0.5631340176985973,3.2000000000625004,0.5954915855095677,0.015315206741078577,0.12550786004911274,0.7209994455586805,0.6139219027300062,0.0271394223237433,0.38349925946104946,0.00350047256056184,0.563271295432465,0.002340590939736058,0.0015341648064891797,0.0019355738829970636,0.002340590939736058,FM,563.271295432465,2.340590939736058,1.5341648064891797,2.340590939736058,1.9355738829970637,383.49925946104946,3.5004725605618403,595.4915855095677,15.315206741078576
5,3.2000000000625004,0.6041735800893018,0.015420673911822691,0.5633615014507765,0.0015226213143205143,0.528011793291759,0.004417258915091479,0.7861365010563823,0.07621363278307576,1.5027372886983565,0.05107576421885664,0.007034915554404259,90,0.5640263365949397,3.2000000000625004,0.5935703241223164,0.0059615231409833255,0.12790218575554393,0.7214725098778603,0.6107699126458684,0.006854810293743628,0.38349925946104946,0.00350047256056184,0.5633615014507765,0.002340590939736058,0.0015226213143205143,0.0019355738829970636,0.002340590939736058,FM,563.3615014507765,2.340590939736058,1.5226213143205143,2.340590939736058,1.9355738829970637,383.49925946104946,3.5004725605618403,593.5703241223164,5.961523140983325
6,2.9715200000673057,0.6082911819899857,0.015029849705023336,0.5646083914476203,0.0015022463268737414,0.5306359513600752,0.0043919263077663,0.7623537649972603,0.07564674138374369,1.517298003857409,0.050338845534882146,0.007755025518896692,90,0.5643583861601202,2.9715200000673057,0.5853236327449667,0.008390031138007509,0.13734381842971322,0.7226674511746799,0.6157363517004311,0.00723501683333431,0.38349925946104946,0.00350047256056184,0.5646083914476203,0.002004290564289362,0.0015022463268737414,0.0019355738829970636,0.002004290564289362,FM,564.6083914476203,2.004290564289362,1.5022463268737414,2.004290564289362,1.9355738829970637,383.49925946104946,3.5004725605618403,585.3236327449666,8.39003113800751
7,2.9715200000673057,0.6061766862709375,0.015280453952691122,0.5638012156529308,0.0015138500368289908,0.5289607461623231,0.0044044683320624035,0.7781499540876857,0.07600436353300946,1.5115509379059076,0.05080888373552031,0.008186993387020544,90,0.5646874999411322,2.9715200000673057,0.588694166273251,0.005495386326421742,0.1327578750544795,0.7214520413277306,0.6127141126767022,0.007371341201598174,0.38349925946104946,0.00350047256056184,0.5638012156529308,0.002004290564289362,0.0015138500368289908,0.0019355738829970636,0.002004290564289362,FM,563.8012156529309,2.004290564289362,1.5138500368289907,2.004290564289362,1.9355738829970637,383.49925946104946,3.5004725605618403,588.694166273251,5.495386326421742
8,2.7429400000182285,0.6180248046012746,0.015505268489378663,0.5638125210293337,0.001488947211943537,0.5282499751657106,0.004320308158604926,0.8089490803920365,0.07619404604251749,1.4902801395324647,0.051105498391147544,0.006851045353065239,90,0.5643651331749499,2.7429400000182285,0.5931259387897135,0.0051466792305203376,0.12800652802628487,0.7211324668159984,0.6232506117574286,0.00736074276173075,0.38349925946104946,0.00350047256056184,0.5638125210293337,0.002495702307451702,0.001488947211943537,0.0019355738829970636,0.002495702307451702,FM,563.8125210293337,2.495702307451702,1.488947211943537,2.495702307451702,1.9355738829970637,383.49925946104946,3.5004725605618403,593.1259387897136,5.146679230520338
9,2.7429400000182285,0.6143221830949733,0.01563769054926609,0.5636290823711172,0.001503019763026115,0.5272552027035698,0.004344278741959698,0.8216648161352526,0.07641175134473557,1.4876317288512286,0.051372208237478435,0.006274698770192595,90,0.5639151568468938,2.7429400000182285,0.5926090832704005,0.004194631892614307,0.12860747522775245,0.721216558498153,0.6204699531039619,0.00689711829048479,0.38349925946104946,0.00350047256056184,0.5636290823711172,0.002495702307451702,0.001503019763026115,0.0019355738829970636,0.002495702307451702,FM,563.6290823711172,2.495702307451702,1.5030197630261148,2.495702307451702,1.9355738829970637,383.49925946104946,3.5004725605618403,592.6090832704006,4.194631892614307
10,2.5144000000198856,0.6233492295607963,0.015790789893667605,0.5640858795346944,0.001485624699173261,0.5268375065068476,0.004281736350160147,0.8523654689365098,0.07653301346066632,1.4697886585190518,0.05156586864356412,0.007846924399111894,90,0.5648158522653307,2.5144000000198856,0.5945270723983045,0.005182708878507648,0.12650391745070305,0.7210309898490076,0.6315039117435354,0.0074353569515868715,0.38349925946104946,0.00350047256056184,0.5640858795346944,0.002154134527708643,0.001485624699173261,0.0019355738829970636,0.002154134527708643,FM,564.0858795346944,2.154134527708643,1.4856246991732611,2.154134527708643,1.9355738829970637,383.49925946104946,3.5004725605618403,594.5270723983045,5.182708878507648
11,2.5144000000198856,0.6155024706520662,0.015416640688816773,0.5645968486694889,0.0014958579450275163,0.5286303293543828,0.004338262275715216,0.8142583682701722,0.07609667246211962,1.4972564618136974,0.05096768207887602,0.00858332515106201,90,0.56568153981002,2.5144000000198856,0.589718432434321,0.005276783878022596,0.13290956477147436,0.7226279972057954,0.6240007043223266,0.007425623640817443,0.38349925946104946,0.00350047256056184,0.5645968486694889,0.002154134527708643,0.0014958579450275163,0.0019355738829970636,0.002154134527708643,FM,564.5968486694888,2.154134527708643,1.4958579450275162,2.154134527708643,1.9355738829970637,383.49925946104946,3.5004725605618403,589.718432434321,5.276783878022596
12,2.285800000021874,0.6274509525630642,0.015721856306461744,0.5645610979911323,0.0014741281165438005,0.5274479183609299,0.00425515000251656,0.855077789474589,0.0763948046042868,1.472653003933928,0.05140591816893423,0.008019924236411338,90,0.5651342625957414,2.285800000021874,0.5902653481972248,0.008483697996149099,0.12910548910911368,0.7193708373063384,0.6326653468497302,0.008079349377963193,0.38349925946104946,0.00350047256056184,0.5645610979911323,0.002437907702005811,0.0014741281165438005,0.0019355738829970636,0.002437907702005811,FM,564.5610979911323,2.4379077020058113,1.4741281165438005,2.4379077020058113,1.9355738829970637,383.49925946104946,3.5004725605618403,590.2653481972247,8.483697996149099
13,2.285800000021874,0.6195359702275699,0.015230415845755895,0.5652815910792083,0.0014807834073816478,0.5300179959500648,0.004312621935872464,0.8044546279883652,0.07580614436600511,1.5070858756482006,0.050597418418703785,0.008464367744718666,90,0.5656974283354709,2.285800000021874,0.576713317320994,0.005827550026763173,0.14665013583457703,0.723363453155571,0.625673829480713,0.007777041309599535,0.38349925946104946,0.00350047256056184,0.5652815910792083,0.002437907702005811,0.0014807834073816478,0.0019355738829970636,0.002437907702005811,FM,565.2815910792083,2.4379077020058113,1.4807834073816477,2.4379077020058113,1.9355738829970637,383.49925946104946,3.5004725605618403,576.713317320994,5.8275500267631735
14,2.0572100000243045,0.6272506412979267,0.015850884664967892,0.5663610492292586,0.001488140722143677,0.530707990254423,0.004394201964594285,0.8233119762659936,0.0791027779996149,1.4992713512653022,0.05306135263340108,0.008003172544581823,89,0.5673680830954911,2.0572100000243045,0.5880629234545427,0.006729153738558924,0.13606101606938245,0.7241239395239252,0.6315380555866819,0.007493153241352086,0.38349925946104946,0.00350047256056184,0.5663610492292586,0.0019355738829970636,0.001488140722143677,0.0019355738829970636,0.0018017147102695468,FM,566.3610492292586,1.9355738829970637,1.488140722143677,1.8017147102695468,1.9355738829970637,383.49925946104946,3.5004725605618403,588.0629234545427,6.729153738558924
15,2.0572100000243045,0.622952597503628,0.015105211805712082,0.5663864108554609,0.0014709701200928589,0.5309918660824111,0.004290615964752835,0.8121864685612177,0.07560155890409845,1.5093113738047954,0.050334381662135066,0.007615793053132258,90,0.5663187740631261,2.0572100000243045,0.5760198435134596,0.006598270084720407,0.14704659041991935,0.7230664339333789,0.6249305228355372,0.007527515128766852,0.38349925946104946,0.00350047256056184,0.5663864108554609,0.0019355738829970636,0.0014709701200928589,0.0019355738829970636,0.0018017147102695468,FM,566.3864108554609,1.9355738829970637,1.4709701200928589,1.8017147102695468,1.9355738829970637,383.49925946104946,3.5004725605618403,576.0198435134596,6.598270084720407
