H,abs_H,Phi_eV,Phi_err_stat_eV,Phi_err_repeat_eV,Phi_err_floor_eV,n,Phi_err_m2_eV,region,Phi_meV,Phi_err_m2_meV,Phi_err_stat_meV,Phi_err_repeat_meV,Phi_err_floor_meV
-3.4284550001312546,3.4284550001312546,0.30788397680533125,0.011264200988653526,0.0027391082279726235,0.0033775277399397323,4,0.011264200988653526,FM,307.88397680533126,11.264200988653526,11.264200988653526,2.7391082279726233,3.3775277399397323
-3.1998550001406314,3.1998550001406314,0.30816096896676015,0.011087124539238848,0.0010815280333643365,0.0033775277399397323,4,0.011087124539238848,FM,308.16096896676015,11.087124539238848,11.087124539238848,1.0815280333643364,3.3775277399397323
-2.97148000015144,2.97148000015144,0.30774598504759765,0.01098260529038637,0.0008291156325792695,0.0033775277399397323,4,0.01098260529038637,FM,307.7459850475976,10.98260529038637,10.98260529038637,0.8291156325792696,3.3775277399397323
-2.7429600001640564,2.7429600001640564,0.3081325453214368,0.010865936643706574,0.0005836659082170676,0.0033775277399397323,4,0.010865936643706574,FM,308.1325453214368,10.865936643706574,10.865936643706574,0.5836659082170675,3.3775277399397323
-2.514205000178983,2.514205000178983,0.30632161610794395,0.011033168011279123,0.0029536541650643454,0.0033775277399397323,4,0.011033168011279123,FM,306.32161610794395,11.033168011279123,11.033168011279123,2.9536541650643455,3.3775277399397323
-2.2856950001968768,2.2856950001968768,0.31317949741409457,0.009686990323421732,0.007120587302259197,0.0033775277399397323,4,0.020792175761779413,FM,313.17949741409456,20.792175761779415,9.686990323421732,7.120587302259197,3.3775277399397323
-2.0571300002187516,2.0571300002187516,0.3073646445097004,0.010583430930316757,0.00034264026540286116,0.0033775277399397323,4,0.010583430930316757,FM,307.36464450970044,10.583430930316757,10.583430930316757,0.34264026540286113,3.3775277399397323
-1.8284150002461148,1.8284150002461148,0.30825148357058946,0.010566643203911874,0.0003771673526009968,0.0033775277399397323,4,0.010566643203911874,canting,308.25148357058947,10.566643203911873,10.566643203911873,0.3771673526009968,3.3775277399397323
-1.5998700002812727,1.5998700002812727,0.31318298934245825,0.010199101998781405,0.0002584525671224917,0.0033775277399397323,4,0.010199101998781405,canting,313.18298934245826,10.199101998781405,10.199101998781405,0.2584525671224917,3.3775277399397323
-1.3715400003280984,1.3715400003280984,0.32737519986841473,0.009833928517127636,0.004248497137702542,0.0033775277399397323,4,0.01240564794177879,canting,327.3751998684147,12.405647941778788,9.833928517127637,4.248497137702541,3.3775277399397323
