Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A),temperature,scan_type
-1.0,1.4984727384584169,0.003325146920262,-2.340798081643265e-06,5.083369182550543e-09,-3.5076221115781923e-06,1.5999139859008503e-09,100,b_scan
-0.9899497487437184,1.5029330940083028,0.0033366651271661,-2.3008246709384985e-06,4.998302812419491e-09,-3.4579855414642326e-06,1.582944111485519e-09,100,b_scan
-0.9798994974874372,1.5069538704127223,0.0033469984942239,-2.265470149349957e-06,4.922767123891516e-09,-3.413959009867405e-06,1.569166080125006e-09,100,b_scan
-0.9698492462311558,1.5131355308301626,0.0033659048180149,-2.2124710919083254e-06,4.813184244060029e-09,-3.347768620101093e-06,1.5541006103727647e-09,100,b_scan
-0.9597989949748744,1.5173140994016348,0.0033776875067869,-2.177573028597024e-06,4.73944077238294e-09,-3.304062258766984e-06,1.5442625988484815e-09,100,b_scan
-0.949748743718593,1.5237126556137126,0.0033920689857314,-2.125440191938092e-06,4.624119027496001e-09,-3.238560119206109e-06,1.5281372905915807e-09,100,b_scan
-0.9396984924623116,1.528063991094926,0.003399453948125,-2.0909868144706947e-06,4.5448260761914775e-09,-3.195161657046956e-06,1.515472789401865e-09,100,b_scan
-0.9296482412060302,1.5346634561987034,0.003411781883574,-2.039871564957156e-06,4.428983136079658e-09,-3.1305163460786065e-06,1.4955931250908658e-09,100,b_scan
-0.9195979899497488,1.539128698597926,0.0034203107168662,-2.006111150795411e-06,4.352477346788519e-09,-3.087663244766529e-06,1.4844520556348764e-09,100,b_scan
-0.9095477386934674,1.545957743846074,0.0034355774825983,-1.955908232018872e-06,4.241525773840809e-09,-3.0237514775418582e-06,1.4686365578088935e-09,100,b_scan
-0.8994974874371859,1.550586373911111,0.0034464223734969,-1.92274681787738e-06,4.1687658540701205e-09,-2.981385016281613e-06,1.45879841827375e-09,100,b_scan
-0.8894472361809045,1.5576506552838454,0.0034593028913577,-1.8734505797157017e-06,4.056666405912208e-09,-2.9181815231360626e-06,1.4398228879491704e-09,100,b_scan
-0.8793969849246231,1.5624098849682833,0.0034671533822827,-1.841005182798352e-06,3.9818828643688465e-09,-2.876404695881986e-06,1.427692994401902e-09,100,b_scan
-0.8693467336683417,1.5696642756252026,0.0034784206761839,-1.7927107031142836e-06,3.870076432617498e-09,-2.8139539472094297e-06,1.4081883598580651e-09,100,b_scan
-0.8592964824120604,1.574590448539026,0.0034874888035884,-1.7609515986565398e-06,3.7981247026376486e-09,-2.772777567584116e-06,1.396166915230893e-09,100,b_scan
